22023,System Overload Surgeons,Georgia GA Atlanta Meet 1 10/29/22,12.9,4.7,0.5,1.7,5.9,1.5,0.8,2.3,0.5,0.0
16282,Bot Bytes the Rust,Georgia GA Atlanta Meet 1 10/29/22,14.6,1.4,0.0,1.8,7.3,1.9,0.7,5.9,1.0,0.0
16632,RackenPigeons,Georgia GA Atlanta Meet 1 10/29/22,12.6,0.6,0.0,0.7,7.7,2.0,2.0,4.3,2.2,0.0
8678,Controlled Chaos,Georgia GA Douglasville Meet 1 10/29/22,11.6,0.0,0.0,0.0,7.6,1.2,0.4,3.9,0.5,0.0
19998,Cristo Rey Flames/Delta CU,Georgia GA Atlanta Meet 1 10/29/22,12.9,0.4,0.0,0.3,6.8,1.3,0.4,5.6,0.7,0.0
19917,Hardaway Robotics,Georgia GA Macon Meet 1 10/29/22,12.9,3.8,0.0,3.8,4.3,0.9,0.7,4.8,0.7,0.0
14468,Dragons,Georgia GA Atlanta Meet 1 10/29/22,11.4,2.3,0.0,2.4,7.5,1.3,0.7,1.7,0.8,0.0
12687,The Screwdrivers,Georgia GA Atlanta Meet 1 10/29/22,11.7,5.3,0.0,5.1,0.7,0.0,0.3,5.8,0.6,0.0
15173,Robotic Eagles,Georgia GA Marietta Meet 1 10/29/22,10.5,4.5,0.0,4.0,3.1,0.7,0.6,2.9,0.7,0.0
14165,Pebblebrook OG Team,Georgia GA Marietta Meet 1 10/29/22,12.9,0.0,0.1,0.0,7.1,1.3,0.6,5.8,0.3,0.1
16906,Cristo Rey Flames II - Kingsfield,Georgia GA Atlanta Meet 1 10/29/22,6.1,3.3,0.0,3.2,2.8,0.6,0.0,0.0,0.0,0.0
17456,Atlantis,Georgia GA Marietta Meet 1 10/29/22,4.4,0.1,0.0,0.0,4.2,0.0,0.0,0.2,0.0,0.0
525,Success,Georgia GA Atlanta Meet 1 10/29/22,6.0,2.5,0.0,3.1,0.0,0.2,0.9,3.5,1.0,0.0
6989,Spartans,Georgia GA Atlanta Meet 1 10/29/22,5.3,0.4,0.0,0.2,3.8,1.4,0.5,1.0,0.5,0.0
22,100 Scholars,Georgia GA Atlanta Meet 1 10/29/22,5.2,3.8,0.0,3.9,1.4,1.0,0.3,0.0,0.3,0.0
9686,Raiders of the ARC- Black,Georgia GA Marietta Meet 1 10/29/22,7.1,0.1,0.0,0.4,5.1,0.4,0.0,2.0,0.0,0.1
21915,SMA Bobcats,Georgia GA Douglasville Meet 1 10/29/22,0.6,0.5,0.0,0.6,0.1,0.4,0.9,0.0,0.8,0.0
18560,Warbotics - 1655,Georgia GA Atlanta Meet 1 10/29/22,4.6,0.0,0.0,0.0,4.3,0.8,0.2,0.4,0.0,0.0
112,RoboKnights Team 112,Georgia GA Atlanta Meet 1 10/29/22,3.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
21628,CKSROBOTICS2,Georgia GA Atlanta Meet 1 10/29/22,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
14101,The Thunderbirds,Georgia GA Atlanta Meet 1 10/29/22,5.1,0.0,0.0,0.0,2.4,0.7,1.0,2.6,1.1,0.0
7482,Axel-otls,Georgia GA Douglasville Meet 1 10/29/22,6.8,0.0,0.0,0.0,0.0,0.0,0.4,6.8,0.4,0.1
4232,Energizer Bunnies,Georgia GA Atlanta Meet 1 10/29/22,1.8,0.0,0.0,0.0,0.0,0.5,0.2,1.8,0.3,0.0
14750,ATOM,Georgia GA Douglasville Meet 1 10/29/22,4.1,0.0,0.0,2.4,4.1,0.5,0.0,0.0,0.0,0.0
21184,Walton Robotics - Blue,Georgia GA Marietta Meet 1 10/29/22,3.4,3.4,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
10458,EVE Robotics FTC,Georgia GA Douglasville Meet 1 10/29/22,2.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.2,0.0
18009,AGS Eye of the Storm,Georgia GA Marietta Meet 1 10/29/22,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
